,element_no,tri_node_1,tri_node_2,tri_node_3,tri_node_1_x,tri_node_1_y,tri_node_2_x,tri_node_2_y,tri_node_3_x,tri_node_3_y
45,46,20,32,19,3.000000000000002,2.0,3.250000000000002,1.56698729810778,3.500000000000002,2.0
46,47,29,43,42,1.249999999999998,0.4330127018922189,0.997282156394609,0.8114914710077723,0.7521186846404371,0.4233860225279155
47,48,39,40,38,2.99610606303216,1.157408320231019,3.241874321670227,0.7071825150522099,3.476636378192952,1.147463589555106
48,49,53,65,34,0.7203587362195956,1.61090747192633,0.8127176335914885,1.200080890080281,1.24805626154998,1.549769692095735
49,50,30,68,40,3.694843539709155,0.4226175011124291,3.691691406400508,0.8191799394174538,3.241874321670227,0.7071825150522099
50,51,34,65,56,1.24805626154998,1.549769692095735,0.8127176335914885,1.200080890080281,1.230406326594218,1.116426306819296
51,52,48,66,51,2.25,0.700961894323342,1.852503957278976,0.8142022299896465,1.795969305337597,0.4336521442400622
52,53,41,54,37,4.030930304035739,1.123074737897087,4.247375257553084,1.599499652783688,3.745913491193614,1.569346645067195
53,54,25,53,24,0.5,2.0,0.7203587362195956,1.61090747192633,1.0,2.0
54,55,18,54,17,4.000000000000003,2.0,4.247375257553084,1.599499652783688,4.500000000000001,2.0
55,56,15,52,14,5.0,1.000000000000001,4.49619023429853,0.7688990191470646,5.0,0.5000000000000013
56,57,28,55,27,0.0,0.4999999999999996,0.4473916533611351,0.7862515652799107,0.0,0.9999999999999991
57,58,37,54,18,3.745913491193614,1.569346645067195,4.247375257553084,1.599499652783688,4.000000000000003,2.0
58,59,35,52,15,4.573433153873584,1.270601937522286,4.49619023429853,0.7688990191470646,5.0,1.000000000000001
59,60,24,53,34,1.0,2.0,0.7203587362195956,1.61090747192633,1.24805626154998,1.549769692095735
60,61,27,55,36,0.0,0.9999999999999991,0.4473916533611351,0.7862515652799107,0.3953531183916654,1.281619653166405
61,62,48,58,47,2.25,0.700961894323342,2.748238270483153,0.8320230941953218,2.503210967713378,1.161550039477819
62,63,39,58,40,2.99610606303216,1.157408320231019,2.748238270483153,0.8320230941953218,3.241874321670227,0.7071825150522099
63,64,8,59,51,1.999999999999998,0.0,2.249999999999998,0.3058993511390133,1.795969305337597,0.4336521442400622
64,65,10,60,33,2.999999999999999,0.0,3.249999999999999,0.305899351139013,2.749999999999999,0.4330127018922193
65,66,30,60,11,3.694843539709155,0.4226175011124291,3.249999999999999,0.305899351139013,3.5,0.0
66,67,33,59,9,2.749999999999999,0.4330127018922193,2.249999999999998,0.3058993511390133,2.499999999999999,0.0
67,68,17,61,3,4.500000000000001,2.0,4.633974596215563,1.633974596215562,5.0,2.0
68,69,26,62,4,0.0,1.499999999999999,0.3660254037844388,1.633974596215561,0.0,2.0
69,70,14,63,2,5.0,0.5000000000000013,4.633974596215563,0.3660254037844386,5.0,0.0
70,71,1,64,28,0.0,0.0,0.3660254037844384,0.3660254037844384,0.0,0.4999999999999996
71,72,4,62,25,0.0,2.0,0.3660254037844388,1.633974596215561,0.5,2.0
72,73,5,64,1,0.4999999999999988,0.0,0.3660254037844384,0.3660254037844384,0.0,0.0
73,74,2,63,13,5.0,0.0,4.633974596215563,0.3660254037844386,4.5,0.0
74,75,3,61,16,5.0,2.0,4.633974596215563,1.633974596215562,5.0,1.5
75,76,34,67,45,1.24805626154998,1.549769692095735,1.616349805067591,1.190392482400217,1.772358580597649,1.577213465952082
76,77,38,68,41,3.476636378192952,1.147463589555106,3.691691406400508,0.8191799394174538,4.030930304035739,1.123074737897087
77,78,56,67,34,1.230406326594218,1.116426306819296,1.616349805067591,1.190392482400217,1.24805626154998,1.549769692095735
78,79,41,68,57,4.030930304035739,1.123074737897087,3.691691406400508,0.8191799394174538,4.014172488394469,0.6955613534704366
79,80,54,61,17,4.247375257553084,1.599499652783688,4.633974596215563,1.633974596215562,4.500000000000001,2.0
80,81,25,62,53,0.5,2.0,0.3660254037844388,1.633974596215561,0.7203587362195956,1.61090747192633
81,82,52,63,14,4.49619023429853,0.7688990191470646,4.633974596215563,0.3660254037844386,5.0,0.5000000000000013
82,83,28,64,55,0.0,0.4999999999999996,0.3660254037844384,0.3660254037844384,0.4473916533611351,0.7862515652799107
